127.0.0.1 - - [25/Aug/2020:22:48:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Aug/2020:22:48:32 +0900] "GET /ajax/ex12.do HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [25/Aug/2020:22:48:32 +0900] "GET /ajax/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:22:48:32 +0900] "GET /ajax/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:22:48:32 +0900] "GET /ajax/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:22:48:32 +0900] "GET /ajax/js/highcharts.js HTTP/1.1" 200 269787
0:0:0:0:0:0:0:1 - - [25/Aug/2020:22:48:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Aug/2020:22:48:37 +0900] "GET /ajax/ex12ok.do?buseo=%EC%9D%B8%EC%82%AC%EB%B6%80 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [25/Aug/2020:22:48:38 +0900] "GET /ajax/ex12ok.do?buseo=%EC%B4%9D%EB%AC%B4%EB%B6%80 HTTP/1.1" 200 73
