127.0.0.1 - - [15/Aug/2020:16:33:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Aug/2020:16:33:39 +0900] "GET /codestudy/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2020:16:33:39 +0900] "GET /codestudy/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2020:16:33:39 +0900] "GET /codestudy/node_modules/bootstrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2020:16:33:39 +0900] "GET /codestudy/node_modules/jquery/dist/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2020:16:33:39 +0900] "GET /codestudy/node_modules/bootstrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2020:16:33:39 +0900] "GET /codestudy/board/edit.do HTTP/1.1" 200 7550
0:0:0:0:0:0:0:1 - - [15/Aug/2020:16:33:39 +0900] "GET /codestudy/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2020:16:33:40 +0900] "GET /codestudy/node_modules/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
